TLR2,-5.786685152
TLR4,-5.429742004
TNF,-3.800713626
Tnfaip2,-2.24238857
TNFRSF17,-2.025628377
TNFRSF18,0.312276035
TNFRSF4,-0.12407822
TNFRSF9,-5.020971321
Tnfsf4,-0.491344807
TOLLIP,-4.645477702
TPSAB1,-5.370812638
TRIO,-6.308577783
Tsc22d3,-4.278715117
TUBB,-8.666673142
USP9Y,4.154737822
VEGFA,-2.998870028
XPO5,-3.610510139
ZFP36,-8.658137488
ZNF205,3.054768251
